ticker,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,spy_pnl,carry_cost,net_pnl,return,usd_invested,trade_days
PTGX,2024-06-28,2024-07-02,35.459999084472656,34.59000015258789,1021,-888.2689094543457,-122.1024169921875,33.72488789639408,-1064.5162143429272,-0.029402741023593092,36204.65906524658,5
RYAN,2024-06-21,2024-06-25,58.88999938964844,59.0,615,67.65037536621094,-28.3795166015625,33.7367092393849,-6.76585047473646,-0.00018681241296946154,36217.34962463379,5
SRPT,2024-05-30,2024-06-03,122.94999694824219,124.2300033569336,294,376.32188415527344,-223.037841796875,33.671456698482984,113.73258565991546,0.0031463646934317834,36147.2991027832,5
IAC,2024-05-02,2024-05-06,42.78916931152344,45.73420715332031,846,2491.5020141601562,-881.8209533691406,33.720210029497544,1559.040850761518,0.04306785840230383,36199.63723754883,5
CNS,2024-04-19,2024-04-23,73.7300033569336,71.58000183105469,491,-1055.650749206543,-447.119384765625,33.72188153536026,-1546.3120155075283,-0.04271411226307372,36201.431648254395,5
DUOL,2024-04-18,2024-04-22,208.8800048828125,205.57000732421875,173,-572.6295776367188,160.460693359375,33.66115585536173,-449.2900401327055,-0.012433225748722873,36136.24084472656,5
CXM,2024-02-29,2024-03-04,13.600000381469727,13.5600004196167,2664,-106.55989837646484,-300.32861328125,33.74886670005485,-493.9173783577697,-0.013632677654780535,36230.40101623535,5
BTU,2024-01-18,2024-01-22,24.649999618530273,25.600000381469727,1469,1395.5511207580566,-717.440185546875,33.730654272523644,615.0002809386579,0.016983867831218025,36210.84943962097,5
CNM,2023-11-09,2023-11-13,32.36000061035156,31.940000534057617,1119,-469.9800853729248,-144.32080078125,33.73064611565577,-670.4115322698306,-0.0185141112336803,36210.8406829834,5
BURL,2023-11-03,2023-11-07,133.00999450683594,131.14999389648438,272,-505.920166015625,-314.56817626953125,33.70072408764983,-859.629066372806,-0.023760627846273318,36178.718505859375,5
DLB,2023-08-18,2023-08-22,82.51000213623047,83.1500015258789,439,280.95973205566406,-396.7398986816406,33.74093950370893,-158.30110612968548,-0.004370315906518975,36221.890937805176,5
MSGS,2023-07-28,2023-08-01,203.0,208.94000244140625,178,1057.3204345703125,-47.400482177734375,33.659068493150684,972.7008838994275,0.02691926949408943,36134.0,5
ELS,2023-07-20,2023-07-24,70.27999877929688,71.5999984741211,515,679.7998428344727,-2.369903564453125,33.71514461987639,633.4147946501432,0.01750045050455635,36194.19937133789,5
PRVA,2023-06-08,2023-06-12,27.5,28.299999237060547,1317,1053.5989952087402,-603.119384765625,33.73684931506849,390.4027611280468,0.01077939562719809,36217.5,5
EXPI,2023-06-08,2023-06-12,18.229999542236328,19.049999237060547,1987,1629.3393936157227,-603.119384765625,33.74198107053156,952.738027779566,0.026302012221051094,36223.009090423584,5
CERT,2023-03-16,2023-03-20,21.90999984741211,22.860000610351562,1653,1570.351261138916,-643.5584106445312,33.736597573267275,859.9962529211175,0.02374550066116024,36217.22974777222,5
CVI,2023-03-16,2023-03-20,29.809999465942383,30.530000686645508,1215,874.8014831542969,-643.5584106445312,33.73838569693369,173.20468681283194,0.004782130169147001,36219.149351119995,5
VRRM,2023-02-24,2023-02-28,16.850000381469727,17.229999542236328,2150,816.9981956481934,-76.43966674804688,33.74616514754622,663.8123637526003,0.018323437960788103,36227.50082015991,5
OTTR,2023-02-17,2023-02-21,67.9800033569336,69.66000366210938,532,893.7601623535156,620.3301086425781,33.688282211512735,1469.761988784581,0.04064004661383108,36165.36178588867,5
NOG,2023-01-27,2023-01-31,35.5,33.52000045776367,1020,-2019.5995330810547,-250.98065185546875,33.72986301369863,-2324.7100479502224,-0.06420077459127926,36210.0,5
DV,2023-01-26,2023-01-30,27.43000030517578,26.950000762939453,1320,-633.5993957519531,226.06076049804688,33.72762777250107,-467.66626302640725,-0.012916245700442166,36207.60040283203,5
ACGL,2022-10-28,2022-11-01,55.20000076293945,55.439998626708984,656,157.4385986328125,-441.7494201660156,33.73098128812607,-331.16180282132916,-0.009145286492693434,36211.20050048828,5
RXO,2022-10-28,2022-11-01,23.0,19.059999465942383,96,-378.24005126953125,-23.249969482421875,2.056767123287671,-405.4667878752408,-0.18363532059567067,2208.0,5
WLK,2022-10-14,2022-10-18,97.61000061035156,93.87000274658203,371,-1387.539207458496,-252.8416748046875,33.73294651230067,-1681.5338287754844,-0.04643413756601974,36213.31022644043,5
TRGP,2022-10-07,2022-10-11,64.38999938964844,65.8499984741211,562,820.5194854736328,1100.5410766601562,33.70860570787404,1876.111956425915,0.05184465808635942,36187.17965698242,5
LNTH,2022-10-07,2022-10-11,70.38999938964844,67.04000091552734,514,-1721.8992156982422,1100.5410766601562,33.70234600913688,-665.3404850472227,-0.018389497834366643,36180.4596862793,5
PAYO,2022-10-07,2022-10-11,7.489999771118164,7.369999885559082,4837,-580.4394464492798,1100.5410766601562,33.747681708453456,389.613948502423,0.010754162752690227,36229.12889289856,5
CELH,2022-08-05,2022-08-09,34.470001220703125,31.126667022705078,1051,-3513.8442420959473,-148.72021484375,33.74660338686591,-3717.331060326563,-0.10260941832189019,36227.971282958984,5
CLFD,2022-08-05,2022-08-09,109.80000305175781,113.87999725341797,329,1342.3180923461914,-148.72021484375,33.64994066128666,1153.367936841155,0.03192784628544557,36124.20100402832,5
NOVT,2022-07-22,2022-07-26,152.14999389648438,145.10000610351562,238,-1677.8970947265625,722.6998901367188,33.731445222201415,-993.6886498120452,-0.027441094720048687,36211.69854736328,5
GRBK,2022-07-14,2022-07-18,23.700000762939453,23.309999465942383,1528,-595.9219818115234,-800.642578125,33.733217524280285,-1460.8577774608036,-0.04034003055298414,36213.601165771484,5
IRT,2022-05-13,2022-05-17,21.93000030517578,22.68000030517578,1652,1239.0,-1056.5114440917969,33.746965949071594,115.70158995913152,0.0031936744679869388,36228.36050415039,5
AOSL,2022-05-13,2022-05-17,38.22999954223633,40.58000183105469,947,2225.4521675109863,-1056.5114440917969,33.72409658249111,1116.2766268366981,0.03083312613238568,36203.8095664978,5
DVAX,2022-05-13,2022-05-17,9.0,9.729999542236328,4025,2938.2481575012207,-1056.5114440917969,33.74383561643835,1767.4928777929854,0.04879207392113141,36225.0,5
