ticker,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,spy_pnl,hedge_ratio,carry_cost,net_pnl,return,usd_invested,trade_days,hold_days,min_adv
SNDR,2024-07-24,2024-07-29,26.0,26.260000228881836,1435,373.10032844543457,135.2991943359375,0.5,41.70542465753425,437.99409812383783,0.011739321847328808,37310.0,6,6,5
AVTR,2024-07-24,2024-07-29,22.56999969482422,26.25,1653,6083.040504455566,135.2991943359375,0.5,41.70342321693734,6143.576275574566,0.1646708957262682,37308.20949554443,6,6,5
GTES,2024-07-17,2024-07-22,17.860000610351562,17.549999237060547,2089,-647.5928688049316,136.94879150390625,0.5,41.704911890986196,-594.1289891920115,-0.01592431771842048,37309.541275024414,6,6,5
PTGX,2024-06-28,2024-07-03,35.459999084472656,34.5,1052,-1009.9190368652344,-146.20166015625,0.5,41.69862730696168,-1218.859324328446,-0.03267376071462948,37303.919036865234,6,6,5
RYAN,2024-06-21,2024-06-26,58.88999938964844,57.59000015258789,633,-822.8995170593262,-37.739501953125,0.5,41.668950143474426,-914.9679691559255,-0.024544864045904956,37277.36961364746,6,6,5
SRPT,2024-05-30,2024-06-04,122.94999694824219,119.72000122070312,303,-978.6887054443359,-135.4498291015625,0.5,41.64265869240957,-1161.841193238308,-0.03118714500854325,37253.84907531738,6,6,5
DOCN,2024-05-01,2024-05-06,35.68000030517578,34.849998474121094,1045,-867.3519134521484,-562.0300903320312,0.5,41.678150493465054,-1491.9601542776447,-0.0400143793184691,37285.60031890869,6,6,5
IAC,2024-05-02,2024-05-07,42.78916931152344,46.22641372680664,872,2997.277130126953,-480.6307678222656,0.5,41.70783424925086,2457.4985280554365,0.0658632149744804,37312.15563964844,6,6,5
CNS,2024-04-19,2024-04-24,73.7300033569336,70.79000091552734,506,-1487.6412353515625,-220.89004516601562,0.5,41.702497898718434,-1760.3537784162963,-0.047185133297144764,37307.3816986084,6,6,5
DUOL,2024-04-18,2024-04-23,208.8800048828125,220.52999877929688,178,2073.6989135742188,-135.78936767578125,0.5,41.560825957833906,1892.7887199406036,0.05090791002237914,37180.640869140625,6,6,5
ROIV,2024-03-27,2024-04-01,10.720000267028809,10.430000305175781,3480,-1009.1998672485352,-15.748291015625,0.5,41.70050734010461,-1136.2486656042647,-0.03045785719304846,37305.600929260254,6,6,5
CXM,2024-02-29,2024-03-05,13.600000381469727,13.039999961853027,2743,-1536.081151008606,32.04052734375,0.5,41.69961322443714,-1600.600236889293,-0.0429060118803389,37304.80104637146,6,6,5
BTU,2024-01-18,2024-01-23,24.649999618530273,25.799999237060547,1513,1739.9494228363037,-423.1490478515625,0.5,41.68915990278688,1244.8512150819543,0.03337809932167547,37295.449422836304,6,6,5
PSTG,2024-01-03,2024-01-08,37.130001068115234,37.439998626708984,1004,311.237548828125,-162.63052368164062,0.5,41.670237253518295,86.85678789296611,0.0023299418913187834,37278.521072387695,6,6,5
SATS,2023-12-28,2024-01-02,15.119999885559082,15.710000038146973,2467,1455.5303764343262,164.97042846679688,0.5,41.69540878030437,1529.4653961208187,0.04100329126740443,37301.039717674255,6,6,5
CNM,2023-11-09,2023-11-14,32.36000061035156,33.33000183105469,1153,1118.4114074707031,-432.60076904296875,0.5,41.70663267705212,621.0440057506823,0.016645028609115237,37311.08070373535,6,6,5
AMR,2023-11-08,2023-11-13,221.3000030517578,227.3699951171875,168,1019.7586669921875,-110.880615234375,0.5,41.55832166898544,863.9597300888271,0.02323821676496843,37178.40051269531,6,6,5
BURL,2023-11-03,2023-11-08,133.00999450683594,130.6199951171875,280,-669.1998291015625,-172.619384765625,0.5,41.63030622592037,-889.0495200931078,-0.023871716326641902,37242.79846191406,6,6,5
FND,2023-10-18,2023-10-23,91.20999908447266,82.19999694824219,409,-3685.0908737182617,576.6604614257812,0.5,41.6997122389702,-3158.3101245314506,-0.08466209540446923,37304.88962554932,6,6,5
HAYW,2023-09-27,2023-10-02,14.5,13.970000267028809,2573,-1363.6893129348755,-9.460052490234375,0.5,41.70374794520548,-1466.3131133703155,-0.03930238721391414,37308.5,6,6,5
DLB,2023-08-18,2023-08-23,82.51000213623047,83.58000183105469,452,483.6398620605469,-415.3801574707031,0.5,41.688122065630346,17.531582524213377,0.00047008466847973436,37294.52096557617,6,6,5
ERIE,2023-08-02,2023-08-07,242.6199951171875,274.9800109863281,153,4951.082427978516,101.600341796875,0.5,41.49400157587757,5008.128768199513,0.1349141390848666,37120.85925292969,6,6,5
PAG,2023-08-02,2023-08-07,172.0,167.80999755859375,216,-905.04052734375,101.600341796875,0.5,41.52881095890411,-849.2889965057792,-0.022859845943846338,37152.0,6,6,5
MSGS,2023-07-28,2023-08-02,203.0,209.47000122070312,183,1184.0102233886719,230.0,0.5,41.52545753424657,1368.8247658544253,0.03684688055814222,37149.0,6,6,5
ELS,2023-07-20,2023-07-25,70.27999877929688,71.63999938964844,530,720.8003234863281,-52.069549560546875,0.5,41.636566948041526,616.4942069777397,0.016550891251321233,37248.399353027344,6,6,5
ABR,2023-06-21,2023-06-26,14.239999771118164,13.9399995803833,2620,-786.0004997253418,198.24005126953125,0.5,41.704082617354715,-681.8645310731653,-0.018276238904303674,37308.79940032959,6,6,5
PRVA,2023-06-08,2023-06-13,27.5,28.8799991607666,1356,1871.2788619995117,-431.7203674316406,0.5,41.683068493150685,1370.7554260747206,0.036759330278217234,37290.0,6,6,5
EXPI,2023-06-08,2023-06-13,18.229999542236328,19.969999313354492,2046,3560.0395317077637,-431.7203674316406,0.5,41.69265824074941,3045.7065060353734,0.08165744064558127,37298.57906341553,6,6,5
CTKB,2023-04-26,2023-05-01,10.430000305175781,11.75,3577,4721.6389083862305,-395.5503845214844,0.5,41.70331322021484,4212.845210644531,0.11292035665647804,37308.11109161377,6,6,5
NABL,2023-03-29,2023-04-03,13.800000190734863,13.199999809265137,2703,-1621.801031112671,-506.9208984375,0.5,41.69581208314242,-2224.4777416333136,-0.059635233822001074,37301.400515556335,6,6,5
CERT,2023-03-16,2023-03-21,21.90999984741211,24.719999313354492,1703,4785.429090499878,-580.31982421875,0.5,41.70847598350211,4129.340790297625,0.11066841850102117,37312.72974014282,6,6,5
CVI,2023-03-16,2023-03-21,29.809999465942383,30.940000534057617,1251,1413.6313362121582,-580.31982421875,0.5,41.68564988332252,766.6058621100858,0.020556674441570527,37292.30933189392,6,6,5
VRRM,2023-02-24,2023-03-01,16.850000381469727,16.860000610351562,2214,22.140506744384766,31.961090087890625,0.5,41.700842587907346,-31.879245755631956,-0.0008545362806932108,37305.900844573975,6,6,5
OTTR,2023-02-17,2023-02-22,67.9800033569336,72.0,548,2202.9581604003906,338.3995056152344,0.5,41.641756357689424,2488.7559096579357,0.06680678373523885,37253.04183959961,6,6,5
NOG,2023-01-27,2023-02-01,35.5,32.93000030517578,1051,-2701.069679260254,-328.43927001953125,0.5,41.70598356164383,-3092.234932841429,-0.08287841044321113,37310.5,6,6,5
DV,2023-01-26,2023-01-31,27.43000030517578,27.190000534057617,1360,-326.3996887207031,-154.10028076171875,0.5,41.6996125187286,-549.3995820011505,-0.01472731594563539,37304.80041503906,6,6,5
ACGL,2022-10-28,2022-11-02,55.20000076293945,56.220001220703125,675,688.5003089904785,245.0,0.5,41.64953482222884,878.3507741682497,0.02357355775706499,37260.00051498413,6,6,5
RXO,2022-10-28,2022-11-02,23.0,16.100000381469727,96,-662.3999633789062,10.0,0.5,2.4681205479452055,-656.7880839268514,-0.2974583713436827,2208.0,6,6,5
WLK,2022-10-14,2022-10-19,97.61000061035156,91.95999908447266,382,-2158.300582885742,2.4993896484375,0.5,41.67973768527932,-2205.1209309225837,-0.05913910302121349,37287.0202331543,6,6,5
TRGP,2022-10-07,2022-10-12,64.38999938964844,64.83999633789062,579,260.54823303222656,620.5001831054688,0.5,41.6739132488094,827.794502888886,0.02220371035460816,37281.809646606445,6,6,5
LNTH,2022-10-07,2022-10-12,70.38999938964844,67.72000122070312,530,-1415.0990295410156,620.5001831054688,0.5,41.701735528815284,-846.9005819643621,-0.022701031967658238,37306.69967651367,6,6,5
PAYO,2022-10-07,2022-10-12,7.489999771118164,7.360000133514404,4981,-647.5281949043274,620.5001831054688,0.5,41.70284124617903,-168.35085304503764,-0.0045124975089467475,37307.688859939575,6,6,5
FYBR,2022-09-28,2022-10-03,23.68000030517578,23.950000762939453,1575,425.2507209777832,-113.72900390625,0.5,41.68977587974234,238.33194119179086,0.006390281481131762,37296.000480651855,6,6,5
CSGP,2022-09-07,2022-09-12,75.68000030517578,78.44000244140625,493,1360.681053161621,-965.3804016113281,0.5,41.705693099682954,343.73495845061007,0.009212885177487902,37310.24015045166,6,6,5
INVH,2022-09-07,2022-09-12,38.02000045776367,40.11000061035156,981,2050.2901496887207,-965.3804016113281,0.5,41.691586693750665,1023.598161383642,0.02744406074863337,37297.62044906616,6,6,5
DT,2022-09-07,2022-09-12,37.88999938964844,41.5099983215332,984,3562.0789489746094,-965.3804016113281,0.5,41.676092698523114,2535.3424546647584,0.06800125565407986,37283.75939941406,6,6,5
NLY,2022-09-07,2022-09-12,26.040000915527344,26.559999465942383,1432,744.6379241943359,-965.3804016113281,0.5,41.68226513671875,-291.06474255371097,-0.007805587351654726,37289.281311035156,6,6,5
OUT,2022-09-07,2022-09-12,18.903688430786133,20.38934326171875,1973,2931.1969814300537,-965.3804016113281,0.5,41.69086774730944,1884.6657120714162,0.050531325855948384,37296.97727394104,6,6,5
CELH,2022-08-05,2022-08-10,34.470001220703125,34.20333480834961,1082,-288.5330581665039,-464.8493957519531,0.5,41.690380435306075,-816.7128343537631,-0.021897816940421536,37296.54132080078,6,6,5
CLFD,2022-08-05,2022-08-10,109.80000305175781,116.62000274658203,339,2311.97989654541,-464.8493957519531,0.5,41.60728225231432,1798.7432185411426,0.048324472184536595,37222.2010345459,6,6,5
NOVT,2022-07-22,2022-07-27,152.14999389648438,148.7899932861328,245,-823.2001495361328,-97.519775390625,0.5,41.66825586271939,-967.2881807894772,-0.025948834584355155,37276.74850463867,6,6,5
GRBK,2022-07-14,2022-07-19,23.700000762939453,23.899999618530273,1574,314.7981986999512,-914.3401794433594,0.5,41.69849558891401,-672.7204763323223,-0.018033563730140527,37303.8012008667,6,6,5
IRT,2022-05-13,2022-05-18,21.93000030517578,22.190000534057617,1701,442.26038932800293,227.95028686523438,0.5,41.69752233368338,594.493153859554,0.015936902157193664,37302.930519104004,6,6,5
AOSL,2022-05-13,2022-05-18,38.22999954223633,39.90999984741211,976,1639.6802978515625,227.95028686523438,0.5,41.708196322506424,1806.4023883942905,0.04841282085843777,37312.479553222656,6,6,5
DVAX,2022-05-13,2022-05-18,9.0,9.619999885559082,4145,2569.899525642395,227.95028686523438,0.5,41.69983561643836,2673.2499768911907,0.07165929438121407,37305.0,6,6,5
